Country,ISO3,Indicator,Unit,Source,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,Sub-Region,Income Group,Area (KM²),Density (KM²)
Belgium,BEL,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",Degree Celsius,"Food and Agriculture Organization of the United Nations (FAO). 2022. FAOSTAT Climate Change, Climate Indicators, Temperature change. License: CC BY-NC-SA 3.0 IGO. Extracted from: https://www.fao.org/faostat/en/#data/ET. Accessed on 2023-03-28.",0.16279679144385029,-0.01375,-0.0069732620320855625,-0.06911764705882355,-0.24715508021390376,0.10500523560209427,-0.1108,-0.19949473684210528,0.15926455026455025,0.09218085106382978,-0.20107894736842108,-0.0843089005235602,0.22916145833333332,-0.1629371727748691,-0.024090909090909086,-0.24555319148936172,0.16525543478260868,0.06999468085106383,0.23384042553191492,0.24684210526315792,0.17725263157894736,0.17696858638743454,0.343984126984127,0.0798663101604278,0.07183422459893048,0.1506772486772487,0.40503174603174597,0.48973015873015874,0.25577248677248676,0.554813829787234,0.36763101604278076,0.23674396135265702,0.21535096153846153,0.6100096618357488,0.6282535885167464,0.278866028708134,0.5434514563106796,0.9711483253588516,0.7431105769230769,1.484,1.336,1.398,1.526,1.089,1.197,1.404,1.883,1.256,1.158,0.233,1.289,1.13,0.463,2.417,1.371,1.882,1.731,2.196,2.081,2.572,1.203,2.807,Europe & Central Asia,High income,30528.0,386
Belize,BLZ,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",Degree Celsius,"Food and Agriculture Organization of the United Nations (FAO). 2022. FAOSTAT Climate Change, Climate Indicators, Temperature change. License: CC BY-NC-SA 3.0 IGO. Extracted from: https://www.fao.org/faostat/en/#data/ET. Accessed on 2023-03-28.",-0.001,-0.137,-0.06,-0.055,-0.105,-0.195,-0.297,-0.205,0.26,-0.21,-0.275,0.442,0.347,0.101,-0.059,-0.416,0.134,-0.025,0.524,0.576,-0.068,0.526,0.685,0.254,0.455,0.135,0.35,0.46,0.173,0.339,0.542,0.311,0.447,0.756,0.759,0.21,0.866,0.904,0.422,0.175,0.445,0.733,0.948,0.701,0.849,0.655,0.85,0.579,0.922,0.843,0.724,0.644,0.785,0.697,1.502,1.446,1.342,0.85,1.556,1.716,1.286,1.031,Latin America & Caribbean,Upper middle income,22966.0,18
Benin,BEN,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",Degree Celsius,"Food and Agriculture Organization of the United Nations (FAO). 2022. FAOSTAT Climate Change, Climate Indicators, Temperature change. License: CC BY-NC-SA 3.0 IGO. Extracted from: https://www.fao.org/faostat/en/#data/ET. Accessed on 2023-03-28.",-0.137,-0.24,0.152,-0.218,-0.094,-0.007,-0.252,-0.129,0.303,0.305,-0.183,0.08,0.627,0.089,-0.274,-0.194,0.357,-0.045,0.499,0.425,0.161,0.211,0.548,0.542,0.411,0.307,0.977,0.631,-0.052,0.58,0.302,-0.027,0.531,0.439,0.406,0.736,0.557,1.042,0.621,0.449,0.517,0.721,0.936,0.706,1.105,1.035,0.806,0.632,0.95,1.23,0.949,0.595,0.853,0.94,1.111,1.025,1.16,1.056,1.147,1.031,1.522,0.884,Sub-Saharan Africa,Lower middle income,112622.0,122
Bhutan,BTN,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",Degree Celsius,"Food and Agriculture Organization of the United Nations (FAO). 2022. FAOSTAT Climate Change, Climate Indicators, Temperature change. License: CC BY-NC-SA 3.0 IGO. Extracted from: https://www.fao.org/faostat/en/#data/ET. Accessed on 2023-03-28.",0.213,-0.292,-0.22,0.065,-0.565,0.14,-0.378,-0.478,0.102,-0.027,-0.227,-0.014,0.31,0.188,0.103,-0.042,-0.059,-0.213,0.414,0.081,0.212,-0.111,-0.286,-0.055,0.113,-0.068,0.256,0.567,0.22,-0.087,0.081,-0.229,-0.248,0.315,0.518,0.307,-0.3,0.825,1.022,0.214,0.72,0.492,0.498,0.476,0.745,0.955,0.978,0.555,1.394,1.202,0.534,0.512,0.742,0.86,1.068,1.487,1.457,1.346,1.329,1.09,1.707,1.523,South Asia,Lower middle income,38394.0,21
Bolivia,BOL,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",Degree Celsius,"Food and Agriculture Organization of the United Nations (FAO). 2022. FAOSTAT Climate Change, Climate Indicators, Temperature change. License: CC BY-NC-SA 3.0 IGO. Extracted from: https://www.fao.org/faostat/en/#data/ET. Accessed on 2023-03-28.",0.247,0.012,0.409,-0.123,0.22,-0.083,0.332,-0.162,0.522,0.173,-0.583,0.13,0.227,-0.154,-0.087,-0.249,0.276,0.27,0.181,0.176,0.167,0.324,0.537,0.289,0.33,0.437,0.692,0.334,0.129,0.183,0.603,0.031,0.404,0.883,0.77,0.29,0.825,0.926,0.337,0.403,0.653,1.016,0.641,0.846,0.764,0.935,0.537,0.396,0.658,0.68,1.165,0.831,0.507,0.955,1.533,0.824,0.981,0.562,0.921,1.315,0.738,0.644,Latin America & Caribbean,Lower middle income,1098581.0,11
Bosnia and Herzegovina,BIH,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",Degree Celsius,"Food and Agriculture Organization of the United Nations (FAO). 2022. FAOSTAT Climate Change, Climate Indicators, Temperature change. License: CC BY-NC-SA 3.0 IGO. Extracted from: https://www.fao.org/faostat/en/#data/ET. Accessed on 2023-03-28.",0.16279679144385029,-0.01375,-0.0069732620320855625,-0.06911764705882355,-0.24715508021390376,0.10500523560209427,-0.1108,-0.19949473684210528,0.15926455026455025,0.09218085106382978,-0.20107894736842108,-0.0843089005235602,0.22916145833333332,-0.1629371727748691,-0.024090909090909086,-0.24555319148936172,0.16525543478260868,0.06999468085106383,0.23384042553191492,0.24684210526315792,0.17725263157894736,0.17696858638743454,0.343984126984127,0.0798663101604278,0.07183422459893048,0.1506772486772487,0.40503174603174597,0.48973015873015874,0.25577248677248676,0.554813829787234,0.36763101604278076,0.659,0.248,1.691,0.286,-0.043,0.112,1.059,0.612,1.525,1.527,1.141,1.088,0.584,0.124,0.594,1.861,1.373,1.379,0.954,1.117,1.756,1.319,1.823,1.813,1.673,1.419,2.275,1.987,1.88,1.598,2.091,Europe & Central Asia,Upper middle income,51209.0,63
Botswana,BWA,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",Degree Celsius,"Food and Agriculture Organization of the United Nations (FAO). 2022. FAOSTAT Climate Change, Climate Indicators, Temperature change. License: CC BY-NC-SA 3.0 IGO. Extracted from: https://www.fao.org/faostat/en/#data/ET. Accessed on 2023-03-28.",0.151,0.262,-0.472,-0.057,0.098,0.436,-0.458,-0.195,0.197,0.598,-0.126,-0.475,0.602,-0.746,-0.225,-0.717,0.3,-0.065,0.543,-0.038,-0.441,0.31,1.012,0.442,0.293,0.278,1.27,0.287,-0.306,0.738,0.062,0.813,0.512,-0.123,1.141,-0.319,-0.096,0.857,0.552,-0.718,-0.186,0.359,0.74,-0.133,1.039,-0.505,0.23,0.153,-0.319,0.936,-0.048,0.473,0.77,-0.092,1.546,1.469,0.017,0.734,1.525,0.493,-0.425,-1.305,Sub-Saharan Africa,Upper middle income,582000.0,5
Brazil,BRA,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",Degree Celsius,"Food and Agriculture Organization of the United Nations (FAO). 2022. FAOSTAT Climate Change, Climate Indicators, Temperature change. License: CC BY-NC-SA 3.0 IGO. Extracted from: https://www.fao.org/faostat/en/#data/ET. Accessed on 2023-03-28.",0.167,-0.184,0.158,-0.213,-0.075,0.044,0.073,-0.409,0.331,0.13,-0.134,0.114,0.443,-0.179,-0.14,-0.185,0.252,0.03,0.017,0.313,0.191,0.277,0.471,0.294,0.092,0.285,0.722,0.461,0.13,0.435,0.468,0.403,0.495,0.608,0.799,0.504,0.671,1.234,0.523,0.495,0.746,1.052,0.927,0.768,1.085,0.77,0.969,0.731,0.969,1.112,0.814,1.023,0.922,1.153,1.516,1.457,1.363,1.148,1.517,1.477,1.154,0.926,Latin America & Caribbean,Upper middle income,8515767.0,26
British Virgin Islands,VGB,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",Degree Celsius,"Food and Agriculture Organization of the United Nations (FAO). 2022. FAOSTAT Climate Change, Climate Indicators, Temperature change. License: CC BY-NC-SA 3.0 IGO. Extracted from: https://www.fao.org/faostat/en/#data/ET. Accessed on 2023-03-28.",0.093,-0.072,0.189,0.184,-0.338,-0.11,-0.321,-0.145,0.356,0.051,-0.274,-0.136,0.214,-0.353,-0.218,-0.368,0.123,0.109,-0.05,0.75,0.512,0.099,0.533,0.211,0.088,0.04,0.514,0.512,0.054,0.446,0.439,0.333,0.541,0.666,0.613,0.337,0.459,1.091,0.525,0.192,0.57,0.741,0.843,0.548,0.825,0.76,1.007,0.406,0.621,1.053,0.393,0.61,0.782,0.878,1.065,1.204,0.971,0.703,0.915,1.317,0.956,0.875,Latin America & Caribbean,High income,151.0,210
Bulgaria,BGR,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",Degree Celsius,"Food and Agriculture Organization of the United Nations (FAO). 2022. FAOSTAT Climate Change, Climate Indicators, Temperature change. License: CC BY-NC-SA 3.0 IGO. Extracted from: https://www.fao.org/faostat/en/#data/ET. Accessed on 2023-03-28.",0.903,0.488,-0.248,-0.528,-0.456,1.151,0.027,0.421,-0.485,0.205,-0.139,0.136,-0.426,-0.198,0.39,-0.838,0.563,-0.71,0.165,-0.448,-0.043,-0.13,0.389,-0.022,-0.605,0.36,-0.484,0.128,0.405,0.797,-0.161,0.149,-0.322,1.583,0.221,-0.36,-0.336,0.775,0.696,1.184,1.648,0.854,0.181,0.533,0.215,0.571,1.883,1.177,1.291,1.361,0.422,1.678,1.476,1.196,1.438,1.899,0.954,2.192,2.112,2.037,1.629,1.831,Europe & Central Asia,Upper middle income,110879.0,62
Burkina Faso,BFA,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",Degree Celsius,"Food and Agriculture Organization of the United Nations (FAO). 2022. FAOSTAT Climate Change, Climate Indicators, Temperature change. License: CC BY-NC-SA 3.0 IGO. Extracted from: https://www.fao.org/faostat/en/#data/ET. Accessed on 2023-03-28.",-0.285,-0.208,0.168,-0.218,-0.141,-0.147,-0.174,-0.209,0.543,0.359,-0.019,0.135,0.671,-0.056,-0.311,-0.316,0.267,0.212,0.434,0.805,0.282,0.18,0.724,0.799,0.472,0.356,1.011,0.593,0.009,0.603,0.527,0.004,0.725,0.311,0.401,0.917,0.621,1.006,0.548,0.537,0.502,1.015,0.986,0.867,1.449,1.162,0.867,0.297,0.942,1.25,1.001,0.492,0.849,0.888,1.111,1.075,1.212,1.156,1.065,1.044,1.624,0.802,Sub-Saharan Africa,Low income,272967.0,85
Burundi,BDI,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",Degree Celsius,"Food and Agriculture Organization of the United Nations (FAO). 2022. FAOSTAT Climate Change, Climate Indicators, Temperature change. License: CC BY-NC-SA 3.0 IGO. Extracted from: https://www.fao.org/faostat/en/#data/ET. Accessed on 2023-03-28.",0.022,-0.502,-0.007,-0.18,-0.265,0.009,-0.252,-0.272,0.156,0.278,-0.292,0.147,0.581,0.179,-0.024090909090909086,-0.24555319148936172,0.16525543478260868,0.06999468085106383,0.23384042553191492,0.24684210526315792,0.17725263157894736,0.437,0.636,0.0798663101604278,0.07183422459893048,0.51,0.614,0.286,0.02,0.279,-0.096,0.004,0.21535096153846153,0.6100096618357488,0.6282535885167464,0.278866028708134,0.5434514563106796,0.545,0.7431105769230769,0.6695096153846153,0.459,0.887,1.032,1.122,0.8518436018957345,0.8760093457943926,1.242,0.8078104265402842,0.910345971563981,1.0984813084112148,0.8209305555555554,0.9014205607476635,0.9308046511627907,1.1151023255813954,1.2691116279069767,1.4384811320754716,1.2800892018779342,1.3021698113207547,1.4430566037735848,1.5512843601895736,1.3430424528301887,1.3820566037735849,Sub-Saharan Africa,Low income,27834.0,516
Cambodia,KHM,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",Degree Celsius,"Food and Agriculture Organization of the United Nations (FAO). 2022. FAOSTAT Climate Change, Climate Indicators, Temperature change. License: CC BY-NC-SA 3.0 IGO. Extracted from: https://www.fao.org/faostat/en/#data/ET. Accessed on 2023-03-28.",-0.035,-0.134,-0.309,0.156,-0.196,0.433,-0.089,-0.124,0.478,0.069,-0.468,0.007,0.36,-0.343,-0.019,-0.485,0.104,0.29,0.479,0.417,0.389,0.15,0.537,0.194,0.348,0.128,0.694,0.415,0.324,0.674,0.597,0.556,0.425,0.496,0.738,0.357,0.393,1.414,0.409,0.296,0.571,0.836,0.711,0.594,0.781,0.767,0.604,0.43,0.453,1.225,0.424,0.875,1.005,0.614,1.081,1.473,1.095,0.787,1.552,1.401,0.912,0.948,East Asia & Pacific,Lower middle income,181035.0,96
Cameroon,CMR,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",Degree Celsius,"Food and Agriculture Organization of the United Nations (FAO). 2022. FAOSTAT Climate Change, Climate Indicators, Temperature change. License: CC BY-NC-SA 3.0 IGO. Extracted from: https://www.fao.org/faostat/en/#data/ET. Accessed on 2023-03-28.",-0.117,-0.218,0.126,-0.157,-0.11,-0.01,-0.107,-0.122,0.225,0.175,-0.132,0.055,0.566,-0.076,-0.207,-0.163,0.304,0.056,0.4,0.35,0.045,0.061,0.164,0.196,0.025,0.084,0.487,0.29,-0.384,0.651,0.563,-0.205,0.247,0.305,0.28,0.335,0.547,1.082,0.604,0.319,0.198,0.77,0.707,0.779,1.004,0.983,0.626,0.653,1.047,1.181,0.655,0.416,0.707,0.882,1.16,1.213,1.165,1.156,1.45,1.281,1.47,1.044,Sub-Saharan Africa,Lower middle income,475442.0,61
Canada,CAN,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",Degree Celsius,"Food and Agriculture Organization of the United Nations (FAO). 2022. FAOSTAT Climate Change, Climate Indicators, Temperature change. License: CC BY-NC-SA 3.0 IGO. Extracted from: https://www.fao.org/faostat/en/#data/ET. Accessed on 2023-03-28.",0.057,-0.118,0.335,-0.299,-0.867,-0.152,-0.452,0.476,-0.003,0.426,-0.023,-1.796,0.306,-0.846,0.225,0.083,1.079,-0.605,-0.214,0.917,1.562,-0.673,0.488,0.337,-0.311,0.011,1.34,1.204,0.017,0.078,0.336,0.1,0.342,0.467,0.938,-0.125,0.426,2.47,1.694,1.291,1.421,0.54,1.24,0.485,1.282,2.343,1.333,0.851,0.539,2.915,1.438,2.144,1.182,0.288,1.231,2.373,1.48,0.477,1.311,1.128,2.515,1.268,North America,High income,9984670.0,4
Cayman Islands,CYM,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",Degree Celsius,"Food and Agriculture Organization of the United Nations (FAO). 2022. FAOSTAT Climate Change, Climate Indicators, Temperature change. License: CC BY-NC-SA 3.0 IGO. Extracted from: https://www.fao.org/faostat/en/#data/ET. Accessed on 2023-03-28.",0.16279679144385029,-0.153,-0.303,-0.06911764705882355,-0.24715508021390376,-0.122,-0.19,-0.341,0.157,-0.185,-0.194,0.197,0.357,0.433,1.023,-0.077,0.255,0.204,0.332,0.614,0.012,0.57,0.384,0.26,0.165,0.225,0.551,0.788,0.785,0.77,0.842,0.549,1.055,1.326,1.355,0.78,1.334,1.265,0.792,0.6695096153846153,0.850231884057971,0.9245450236966825,0.844,0.7772028301886792,0.987,0.925,1.077,0.884,0.787,0.989,0.675,0.743,0.899,1.106,1.347,1.284,1.257,0.865,1.237,1.278,0.957,0.974,Latin America & Caribbean,High income,264.0,289
Chad,TCD,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",Degree Celsius,"Food and Agriculture Organization of the United Nations (FAO). 2022. FAOSTAT Climate Change, Climate Indicators, Temperature change. License: CC BY-NC-SA 3.0 IGO. Extracted from: https://www.fao.org/faostat/en/#data/ET. Accessed on 2023-03-28.",-0.409,-0.26,0.291,-0.176,-0.092,-0.007,-0.377,-0.155,0.553,0.163,-0.241,0.206,0.719,-0.032,-0.172,0.232,-0.048,-0.132,0.459,0.337,0.037,0.306,-0.047,0.508,0.172,0.63,0.344,0.133,-0.271,0.416,0.649,-0.279,0.275,0.381,0.175,0.586,0.485,0.841,0.569,0.281,0.291,0.797,0.838,0.831,1.148,1.368,0.605,0.466,1.236,1.181,0.969,0.553,1.013,0.856,1.294,0.939,1.026,1.527,1.306,1.192,1.146,0.738,Sub-Saharan Africa,Low income,1284000.0,15
Chile,CHL,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",Degree Celsius,"Food and Agriculture Organization of the United Nations (FAO). 2022. FAOSTAT Climate Change, Climate Indicators, Temperature change. License: CC BY-NC-SA 3.0 IGO. Extracted from: https://www.fao.org/faostat/en/#data/ET. Accessed on 2023-03-28.",-0.301,0.249,0.054,-0.22,0.115,-0.169,-0.142,0.366,0.155,0.205,-0.364,-0.13,-0.058,-0.18,-0.127,-0.262,0.37,0.366,0.286,0.342,0.373,0.397,0.574,-0.122,0.328,0.08,0.616,0.08,0.327,0.214,0.108,-0.116,0.235,0.279,-0.004,0.276,0.716,0.721,0.251,-0.179,0.054,0.14,0.312,0.563,0.275,0.575,-0.219,0.502,0.52,-0.015,0.206,0.699,0.434,0.488,0.848,1.022,0.873,0.538,0.683,0.947,0.877,0.407,Latin America & Caribbean,High income,756102.0,26
