Unnamed: 0,iso3c,Country,Rank,Score,Incidents,Fatalities,Injuries,Hostages
,EST,Estonia,93,0.0,0,0,0,0
,GEO,Georgia,93,0.0,0,0,0,0
,GHA,Ghana,93,0.0,0,0,0,0
,GIN,Guinea,93,0.0,0,0,0,0
,GMB,The Gambia,93,0.0,0,0,0,0
,GNB,Guinea-Bissau,93,0.0,0,0,0,0
,GNQ,Equatorial Guinea,93,0.0,0,0,0,0
,GTM,Guatemala,93,0.0,0,0,0,0
,GUY,Guyana,93,0.0,0,0,0,0
,HND,Honduras,93,0.0,0,0,0,0
,HRV,Croatia,93,0.0,0,0,0,0
,HTI,Haiti,93,0.0,0,0,0,0
,HUN,Hungary,93,0.0,0,0,0,0
,ISL,Iceland,93,0.0,0,0,0,0
,JAM,Jamaica,93,0.0,0,0,0,0
,KAZ,Kazakhstan,93,0.0,0,0,0,0
,KGZ,Kyrgyz Republic,93,0.0,0,0,0,0
,KHM,Cambodia,93,0.0,0,0,0,0
,KOR,South Korea,93,0.0,0,0,0,0
,KWT,Kuwait,93,0.0,0,0,0,0
,LAO,Laos,93,0.0,0,0,0,0
,LBR,Liberia,93,0.0,0,0,0,0
,LSO,Lesotho,93,0.0,0,0,0,0
,LVA,Latvia,93,0.0,0,0,0,0
,MDA,Moldova,93,0.0,0,0,0,0
,MDG,Madagascar,93,0.0,0,0,0,0
,MKD,Macedonia (FYR),93,0.0,0,0,0,0
,MNE,Montenegro,93,0.0,0,0,0,0
,MNG,Mongolia,93,0.0,0,0,0,0
,MUS,Mauritius,93,0.0,0,0,0,0
,MWI,Malawi,93,0.0,0,0,0,0
,NAM,Namibia,93,0.0,0,0,0,0
,NIC,Nicaragua,93,0.0,0,0,0,0
,OMN,Oman,93,0.0,0,0,0,0
,PAN,Panama,93,0.0,0,0,0,0
,PNG,Papua New Guinea,93,0.0,0,0,0,0
,POL,Poland,93,0.0,0,0,0,0
,PRK,North Korea,93,0.0,0,0,0,0
,PRT,Portugal,93,0.0,0,0,0,0
,QAT,Qatar,93,0.0,0,0,0,0
,SGP,Singapore,93,0.0,0,0,0,0
,SLE,Sierra Leone,93,0.0,0,0,0,0
,SLV,El Salvador,93,0.0,0,0,0,0
,SRB,Serbia,93,0.0,0,0,0,0
,SSD,South Sudan,93,0.0,0,0,0,0
,SVN,Slovenia,93,0.0,0,0,0,0
,TKM,Turkmenistan,93,0.0,0,0,0,0
,TLS,Timor-Leste,93,0.0,0,0,0,0
,TTO,Trinidad and Tobago,93,0.0,0,0,0,0
,ZMB,Zambia,93,0.0,0,0,0,0
,ZWE,Zimbabwe,93,0.0,0,0,0,0
